id,stratum,status,CD,ECD,NC,p95,topology_pass,seconds,arm,partition,delta_CD,delta_ECD,delta_NC,delta_p95,classification
point2building_00032_z41aca4f400000f6c,real_zurich,evaluated,2.007534193274929,2.527005113112435,0.6413575112346531,0.19603001038591356,True,0.5939999999827705,baseline,discovery,0.0,0.0,0.0,0.0,unchanged
point2building_00089_z41ad26d300061d2a,real_zurich,evaluated,2.1224056648049743,2.7774181624902154,0.6446654076601767,0.4950434244901378,True,0.5150000000139698,baseline,discovery,0.0,0.0,0.0,0.0,unchanged
point2building_00612_z41afb9c5000028d4,real_zurich,evaluated,1.7885860269512333,2.6098018889956225,0.5432570160905896,0.32422669264028287,True,0.5779999999795109,baseline,transfer,0.0,0.0,0.0,0.0,unchanged
point2building_00828_z41aca4f400001a79,real_zurich,evaluated,1.0022882610528128,1.5899801355670293,0.7840154039841699,0.09274734032303603,True,0.5309999999590218,baseline,transfer,0.0,0.0,0.0,0.0,unchanged
point2building_01020_z41af1c5900042690,real_zurich,evaluated,0.7707906414801918,1.1051363219703716,0.6785077061294484,0.05670187973372796,True,0.5939999999827705,baseline,transfer,0.0,0.0,0.0,0.0,unchanged
point2building_01182_z41ac39cc00001edd,real_zurich,evaluated,1.0058192009532516,1.3800953495038746,0.7518577863980958,0.09677391193542723,True,0.5,baseline,transfer,0.0,0.0,0.0,0.0,unchanged
point2building_01226_z434cc37600000036,real_zurich,evaluated,1.7168480864025462,2.488458171204026,0.6747408155410523,0.14367662806805218,True,0.5160000000032596,baseline,discovery,0.0,0.0,0.0,0.0,unchanged
point2building_01231_z43d783460000001b,real_zurich,evaluated,1.1828082326814906,1.9184931444951892,0.7441873309313948,0.4883933023843498,True,0.5310000000172295,baseline,transfer,0.0,0.0,0.0,0.0,unchanged
point2building_01232_z43d783d80000001d,real_zurich,failed,,,,,,1.047000000020489,baseline,selection,,,,,failed
point2building_01234_z43eaf3bb00000000,real_zurich,evaluated,1.0700605182718257,1.7230453317185201,0.7511460524733459,0.17583177175867407,True,0.5310000000172295,baseline,selection,0.0,0.0,0.0,0.0,unchanged
point2building_01244_z45b11be700005ac6,real_zurich,evaluated,1.0683289562349636,1.557901079287702,0.5893694003741835,0.23232767761402176,True,0.5160000000032596,baseline,discovery,0.0,0.0,0.0,0.0,unchanged
point2building_01496_z41acfcf900040363,real_zurich,evaluated,2.2382803476898365,3.2142226987051212,0.6292143212996237,0.4043870943410517,True,0.5150000000139698,baseline,transfer,0.0,0.0,0.0,0.0,unchanged
point2building_02062_z45b11b6e00004d35,real_zurich,evaluated,1.1738900097715135,1.8762406094158268,0.6906940002460842,0.2099300038051485,True,0.5320000000065193,baseline,selection,0.0,0.0,0.0,0.0,unchanged
point2building_02073_z45b11b6f00004d43,real_zurich,evaluated,2.0362015137995724,2.530185323389769,0.5635778337422238,0.2593780959881181,True,0.5310000000172295,baseline,discovery,0.0,0.0,0.0,0.0,unchanged
point2building_02308_z45b11b8c000050a2,real_zurich,evaluated,1.2375755959374688,1.6473291109544004,0.7161380920604071,0.09917405012522232,True,0.5939999999827705,baseline,selection,0.0,0.0,0.0,0.0,unchanged
point2building_02420_z4631e26b00000002,real_zurich,evaluated,0.4160235525278927,0.5011493173451154,0.854275399146216,0.17816244978866538,True,0.5619999999762513,baseline,transfer,0.0,0.0,0.0,0.0,unchanged
